PFAS,Model,R2,MAE,MSE,RMSE
PFPA,Ridge,-0.028904682211083665,0.9178780015953449,1.3619293950366622,1.1670173070853158
PFPA,Lasso,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFPA,ElasticNet,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFPA,Linear,-0.028859695774620553,0.917883673129834,1.3618698478781581,1.1669917942634207
PFPA,RandomForest,0.3854908756695077,0.770818878593071,0.813406775587245,0.9018906672026521
PFHA,Ridge,-0.09182217161486195,0.9596067606165235,1.4452113353003317,1.2021694286997702
PFHA,Lasso,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFHA,ElasticNet,-0.046678009959374656,0.9282882790504416,1.3854554008237099,1.1770536949620054
PFHA,Linear,-0.09183459829429785,0.9596139831489271,1.4452277841126455,1.2021762699840008
PFHA,RandomForest,0.18432872783365106,0.8182894451066798,1.0796789065659997,1.0390759869066362
PFHPA,Ridge,-0.07772853436893645,0.9517898502435191,1.4265560223446543,1.194385206851062
PFHPA,Lasso,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFHPA,ElasticNet,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFHPA,Linear,-0.07777422999627825,0.951819113323641,1.4266165082372522,1.1944105275144103
PFHPA,RandomForest,0.21477952514083498,0.8546588069255838,1.039372125314081,1.0194960153497812
PFOA,Ridge,-0.07096134643435614,0.9440424196826622,1.4175985043848407,1.1906294572136373
PFOA,Lasso,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFOA,ElasticNet,-0.04668209416508562,0.9274864269812249,1.3854608069608472,1.1770559914298246
PFOA,Linear,-0.07096704684710042,0.9440458459968077,1.4176060498453817,1.1906326258948987
PFOA,RandomForest,0.2247558617416101,0.8149512082370961,1.0261667562392922,1.0129988925163207
PFNA,Ridge,-0.010078728320056962,0.892272296034063,1.3370100604888835,1.1562915118986576
PFNA,Lasso,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFNA,ElasticNet,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFNA,Linear,-0.009713285898788948,0.8917099131653096,1.3365263356265875,1.1560823221668028
PFNA,RandomForest,0.34614275631874947,0.8488587085883672,0.865490667622848,0.9303175090380961
PFNDCA,Ridge,-0.030060723052855787,0.9119607034313966,1.3634596106450594,1.1676727326802914
PFNDCA,Lasso,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFNDCA,ElasticNet,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFNDCA,Linear,-0.03002671934030654,0.9117539042614549,1.3634146009794783,1.1676534592846792
PFNDCA,RandomForest,0.14596280462024136,0.785205214757857,1.1304626958668462,1.0632321928284745
PFUNDCA,Ridge,-0.0588651441489938,0.9230059259314076,1.4015871344828763,1.1838864533741724
PFUNDCA,Lasso,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFUNDCA,ElasticNet,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFUNDCA,Linear,-0.05967837929735986,0.9231989984962544,1.4026635887675012,1.1843409934505778
PFUNDCA,RandomForest,-0.9657629553588383,1.4301186506276604,2.6020197972314216,1.613077740603788
PFDOA,Ridge,-0.05935013743597306,0.9230655057646737,1.4022291051390046,1.184157550809437
PFDOA,Lasso,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFDOA,ElasticNet,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFDOA,Linear,-0.06018451904737687,0.9232614859015886,1.4033335503445672,1.1846238011894608
PFDOA,RandomForest,-0.954988014815003,1.419686625597261,2.587757340747225,1.6086507827204837
PFODA,Ridge,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFODA,Lasso,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFODA,ElasticNet,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFODA,Linear,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFODA,RandomForest,-0.040128681541985456,0.9140405805836107,1.376786256787721,1.1733653552017467
PFBSA,Ridge,-0.025531969652708986,0.9199406425262981,1.3574650394421393,1.16510301666511
PFBSA,Lasso,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFBSA,ElasticNet,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFBSA,Linear,-0.025505433018166324,0.9199489801920262,1.3574299137174208,1.1650879424822063
PFBSA,RandomForest,-0.025118074511572663,0.8988298729049677,1.3569171792089008,1.1648678805808412
PFHXSA,Ridge,-0.036979909056531035,0.9149145686259825,1.3726183237611091,1.1715879496483006
PFHXSA,Lasso,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFHXSA,ElasticNet,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFHXSA,Linear,-0.03698018015628346,0.9149142847695908,1.3726186826074902,1.1715881027935928
PFHXSA,RandomForest,0.30591580367159843,0.7481797343117664,0.9187378441884837,0.9585081346490929
PFHPSA,Ridge,-0.033762444196404395,0.9172502279152518,1.3683594647567092,1.1697689792248336
PFHPSA,Lasso,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFHPSA,ElasticNet,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFHPSA,Linear,-0.033753216773892536,0.9172508798772541,1.3683472507021164,1.1697637585008849
PFHPSA,RandomForest,-0.3484574619633347,1.0257950670760825,1.7849115541566092,1.3360058211537138
PFOS,Ridge,-0.056467562877738686,0.922189062451471,1.3984135300987517,1.1825453606939362
PFOS,Lasso,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFOS,ElasticNet,-0.04281931973632469,0.9191125235899202,1.380347771582662,1.174882024538065
PFOS,Linear,-0.05647098503883097,0.9221898001679936,1.3984180599078453,1.1825472759715974
PFOS,RandomForest,-0.04367562486865317,0.945003828217066,1.3814812362767217,1.1753642993883733
PFNS,Ridge,-0.03372166524657905,0.9172290137858645,1.3683054869185032,1.169745906989421
PFNS,Lasso,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFNS,ElasticNet,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFNS,Linear,-0.03371208999243014,0.917229484885793,1.3682928124498999,1.1697404893607384
PFNS,RandomForest,-0.5337874737939536,1.119804754291129,2.0302271749896286,1.4248604054396448
PFDSA,Ridge,-0.03372166524657905,0.9172290137858645,1.3683054869185032,1.169745906989421
PFDSA,Lasso,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFDSA,ElasticNet,-0.034858741985693165,0.9171737563478946,1.3698106003290904,1.1703890807458392
PFDSA,Linear,-0.03371208999243014,0.917229484885793,1.3682928124498999,1.1697404893607384
PFDSA,RandomForest,-0.5337874737939536,1.119804754291129,2.0302271749896286,1.4248604054396448
PFAS_total,Ridge,-0.04308679331497878,0.9251302805425059,1.380701818109481,1.17503268810254
PFAS_total,Lasso,-0.037942739752350185,0.9205689296303241,1.3738927930581695,1.172131730249706
PFAS_total,ElasticNet,-0.04037031229029919,0.9228486969933247,1.377106095957046,1.1735016386682406
PFAS_total,Linear,-0.04308688053170928,0.9251303501194931,1.3807019335555772,1.1750327372271707
PFAS_total,RandomForest,-0.38370592075897214,1.0922526644851023,1.831568851954452,1.3533546659890938
